车牌,车架,车型,定位时间,经度,纬度,位置描述
鄂W907E3,1C4HJXEN0NW130507,Jeep新牧马人/自动/SUV/2.0T,2024/11/15 11:29,89.170750,42.944080,新疆维吾尔自治区吐鲁番市高昌区高昌路街道西环中路老城西路交汇处东侧西北约85米
鄂AR981Q,1C4HJXEN1NW130676,Jeep新牧马人/自动/SUV/2.0T,2024/11/15 11:19,100.315250,28.539690,四川省甘孜藏族自治州稻城县香格里拉镇圣湖美地酒店东南约197米
鄂A2Q06E,1C4HJXEN1NW130886,Jeep新牧马人/自动/SUV/2.0T,2024/11/15 11:29,117.125840,39.180530,天津市北辰区天穆镇
川GEQ183,1C4HJXEN1NW141046,Jeep新牧马人（雪地胎）/自动/SUV/2.0T,2024/11/15 11:30,90.010930,47.183930,新疆维吾尔自治区阿勒泰地区富蕴县吐尔洪乡
川G7SK02,1C4HJXEN2NW131674,Jeep新牧马人/自动/SUV/2.0T,2024/11/15 11:19,91.686990,32.267820,西藏自治区那曲市安多县帕那镇古西东牧民综合专业合作社
川G1SS65,1C4HJXEN2NW143503,Jeep新牧马人/自动/SUV/2.0T,2024/11/15 11:29,84.494840,44.402150,新疆维吾尔自治区塔城地区乌苏市甘河子镇G312东南约75米
川G26775,1C4HJXEN3NW140769,Jeep新牧马人/自动/SUV/2.0T,2024/11/15 11:29,99.868600,27.795710,云南省迪庆藏族自治州香格里拉市建塘镇拍摄位西南约191米
桂A1Y5U5,1C4HJXEN4NW196753,Jeep新牧马人/自动/SUV/2.0T,2024/11/15 11:30,118.856260,29.565950,浙江省杭州市淳安县界首乡严家村里童41号东北约320米
鄂A9Y214,1C4HJXEN5NW130387,Jeep新牧马人/自动/SUV/2.0T,2024/11/15 11:29,100.926180,37.992100,青海省海北藏族自治州祁连县芒扎村党群综合服务中心东北约485米
鄂AQ740A,1C4HJXEN5NW130874,Jeep新牧马人/自动/SUV/2.0T,2024/11/15 10:30,106.370890,39.007760,宁夏回族自治区石嘴山市大武口区朝阳街道绿城雅居西门(人行门)
鄂W586K8,1C4HJXEN5NW140739,Jeep新牧马人/自动/SUV/2.0T,2024/11/14 9:38,104.070310,30.658840,四川省成都市锦江区春熙路街道交通路33号附1
鄂W661K0,1C4HJXEN6NW130401,Jeep新牧马人/自动/SUV/2.0T,2024/11/15 11:29,100.920230,29.991060,四川省甘孜藏族自治州雅江县河口镇那扎沟西南约364米
川GGE672,1C4HJXEN8NW130769,Jeep新牧马人/自动/SUV/2.0T,2024/11/15 11:28,105.592690,38.221800,内蒙古自治区阿拉善盟阿拉善左旗巴润别立镇元山子西北约745米
鄂W719D7,1C4HJXFN0NW143207,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:13,102.951090,31.322240,四川省阿坝藏族羌族自治州理县朴头镇娜姆湖酒店
鄂A1S829,1C4HJXFN1NW168102,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:22,106.574310,29.558780,重庆市渝中区解放碑街道八一路179号
鄂A8Y79U,1C4HJXFN2NW144021,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:10,100.294230,29.048670,四川省甘孜藏族自治州稻城县金珠镇4季红酒店
鄂A68H59,1C4HJXFN2NW166665,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/12 16:43,104.223510,30.656130,四川省成都市龙泉驿区西河街道四川鼎森文化传播有限公司
鄂W306J3,1C4HJXFN2NW202547,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:24,102.769880,30.981240,四川省阿坝藏族羌族自治州小金县4姑娘山镇双桥山庄西南约72米
鄂W913J8,1C4HJXFN4NW166652,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 10:27,113.266890,23.121500,广东省广州市越秀区珠光街道珠光路112号126
川G0R708,1C4HJXFN5MW834909,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:21,106.573860,29.558700,重庆市渝中区解放碑街道八一路218雅地天际
鄂A14F42,1C4HJXFN5NW202459,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:29,93.038730,35.161040,青海省玉树藏族自治州治多县索加乡
鄂A0M0M3,1C4HJXFN6NW143325,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 9:54,103.902550,33.272930,四川省阿坝藏族羌族自治州九寨沟县漳扎镇藏家小菜
鄂A7L187,1C4HJXFN6NW166670,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 10:54,104.069560,30.661950,四川省成都市青羊区西御河街道顺城大街88
鄂W673N3,1C4HJXFN6NW175465,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:18,98.876670,28.439380,云南省迪庆藏族自治州德钦县升平镇高山别庄德钦精品酒店-安缇缦水疗西南约140米
鄂W690L2,1C4HJXFN6NW202678,Jeep新牧马人 罗宾汉（雪地胎）/自动/SUV/2.0T,2024/11/15 11:29,87.447390,47.431640,新疆维吾尔自治区阿勒泰地区阿勒泰市切木尔切克镇
鄂A8J39J,1C4HJXFN7NW143110,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:04,101.585150,30.212840,四川省甘孜藏族自治州康定市新都桥镇
鄂AR83B6,1C4HJXFN8NW166721,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:30,89.258260,29.088370,西藏自治区日喀则市白朗县洛江镇3朱康沙西南约422米
