时间点,cnum,lng,lat,speed
2024/03/01 00:58:23,粤A70LR0,113.36486,23.10371,0
2024/03/01 01:58:09,粤A70LR0,113.36476,23.10366,0
2024/03/01 02:58:30,粤A70LR0,113.364494,23.10414,0
2024/03/01 03:58:11,粤A70LR0,113.36474,23.10401,0
2024/03/01 04:58:25,粤A70LR0,113.36463,23.10404,0
2024/03/01 05:58:16,粤A70LR0,113.36487,23.10393,0
2024/03/01 06:58:18,粤A70LR0,113.36525,23.10405,0
2024/03/01 07:58:16,粤A70LR0,113.365,23.10364,0
2024/03/01 08:18:30,粤A70LR0,113.3649,23.10386,0
2024/03/01 08:18:35,粤A70LR0,113.36487,23.10377,0
2024/03/01 08:18:50,粤A70LR0,113.36497,23.10375,0
2024/03/01 08:19:23,粤A70LR0,113.36488,23.10379,0
2024/03/01 08:58:16,粤A70LR0,113.36489,23.1038,0
2024/03/01 09:32:34,粤A70LR0,113.36489,23.10389,0
2024/03/01 09:32:44,粤A70LR0,113.36492,23.1038,0
2024/03/01 09:35:23,粤A70LR0,113.36485,23.10374,0
2024/03/01 09:41:21,粤A70LR0,113.36491,23.10366,0
2024/03/01 09:41:26,粤A70LR0,113.365,23.10362,0
2024/03/01 09:41:32,粤A70LR0,113.365,23.10352,0
2024/03/01 09:41:40,粤A70LR0,113.36507,23.10344,12
2024/03/01 09:41:43,粤A70LR0,113.36522,23.10344,22
2024/03/01 09:41:46,粤A70LR0,113.36544,23.103432,27
2024/03/01 09:41:49,粤A70LR0,113.365654,23.103432,22
2024/03/01 09:41:52,粤A70LR0,113.36587,23.10342,29
2024/03/01 09:41:55,粤A70LR0,113.36615,23.10342,35
2024/03/01 09:41:58,粤A70LR0,113.36647,23.103409,38
2024/03/01 09:42:01,粤A70LR0,113.3668,23.103409,37
2024/03/01 09:42:04,粤A70LR0,113.36711,23.1034,35
2024/03/01 09:42:07,粤A70LR0,113.36736,23.10338,25
2024/03/01 09:42:10,粤A70LR0,113.36754,23.103369,18
2024/03/01 09:42:13,粤A70LR0,113.36765,23.103329,11
2024/03/01 09:42:17,粤A70LR0,113.36775,23.103271,9
2024/03/01 09:42:22,粤A70LR0,113.36782,23.1032,5
2024/03/01 09:42:28,粤A70LR0,113.367874,23.103128,9
2024/03/01 09:42:31,粤A70LR0,113.36792,23.103031,18
2024/03/01 09:42:34,粤A70LR0,113.367966,23.1028,33
