时间点,车牌号,经度,纬度,速度,地址
,,103.680933,36.498864,0,甘肃省兰州市永登县中川镇阳光淋浴
,,103.680933,36.498864,0,甘肃省兰州市永登县中川镇阳光淋浴
,,103.680933,36.498864,0,甘肃省兰州市永登县中川镇阳光淋浴
,,103.680933,36.498864,0,甘肃省兰州市永登县中川镇阳光淋浴
,,103.680933,36.498864,0,甘肃省兰州市永登县中川镇阳光淋浴
,,103.680933,36.498864,0,甘肃省兰州市永登县中川镇阳光淋浴
,,103.680933,36.498864,0,甘肃省兰州市永登县中川镇阳光淋浴
,,103.680933,36.498864,0,甘肃省兰州市永登县中川镇阳光淋浴
,,103.680933,36.498864,0,甘肃省兰州市永登县中川镇阳光淋浴
,,103.681003,36.498814,0,甘肃省兰州市永登县中川镇阳光淋浴
,,103.681003,36.498794,0,甘肃省兰州市永登县中川镇阳光淋浴
,,103.681003,36.498794,0,甘肃省兰州市永登县中川镇阳光淋浴
,,103.680935,36.500735,0,甘肃省兰州市永登县中川镇雄桥
,,103.680985,36.500786,0,甘肃省兰州市永登县中川镇雄桥
,,103.681045,36.500826,0,甘肃省兰州市永登县中川镇雄桥
,,103.681145,36.500847,0,甘肃省兰州市永登县中川镇雄桥东南约54米
,,103.681636,36.500870,0,甘肃省兰州市永登县中川镇雄桥东南约98米
,,103.682307,36.500873,0,甘肃省兰州市永登县中川镇雄桥东南约158米
,,103.682777,36.500866,0,甘肃省兰州市永登县中川镇象牙塔东北约196米
,,103.683559,36.501009,0,甘肃省兰州市永登县中川镇梦之源百货商行东北约221米
,,103.684551,36.501013,0,甘肃省兰州市永登县中川镇永辉刀削面东北约224米
,,103.684591,36.501034,0,甘肃省兰州市永登县中川镇浑元聚茶楼西北约226米
,,103.684601,36.501064,0,甘肃省兰州市永登县中川镇浑元聚茶楼西北约230米
,,103.684591,36.501094,0,甘肃省兰州市永登县中川镇浑元聚茶楼西北约233米
,,103.684551,36.501114,0,甘肃省兰州市永登县中川镇永辉刀削面东北约235米
,,103.684390,36.501133,0,甘肃省兰州市永登县中川镇永辉刀削面东北约236米
,,103.683168,36.501138,0,甘肃省兰州市永登县家合景园东南约190米
,,103.681846,36.501131,0,甘肃省兰州市永登县中川镇雄桥东北约120米
,,103.681115,36.501127,0,甘肃省兰州市永登县中川镇雄桥东北约58米
,,103.680645,36.501113,0,甘肃省兰州市永登县中川镇雄桥
,,103.679144,36.501083,0,甘肃省兰州市永登县象牙塔B区西北约57米
,,103.677063,36.501084,0,甘肃省兰州市永登县锦绣家园幼儿园
,,103.675284,36.501066,0,甘肃省兰州市永登县中川镇Q999东北约184米
,,103.674264,36.501084,0,甘肃省兰州市永登县中川镇Q999东北约93米
,,103.673804,36.501079,0,甘肃省兰州市永登县中川镇Q999东北约52米
,,103.672616,36.501064,0,甘肃省兰州市永登县中川镇雄桥新村
,,103.670718,36.501039,0,甘肃省兰州市永登县中川镇雄桥新村西北约170米
,,103.668882,36.501013,0,甘肃省兰州市永登县中川镇雄桥新村西北约334米
,,103.667854,36.501027,0,甘肃省兰州市永登县中川镇雄桥新村西北约426米
,,103.667764,36.501076,0,甘肃省兰州市永登县中川镇雄桥新村西北约434米
,,103.667684,36.501144,0,甘肃省兰州市永登县中川镇雄桥新村西北约442米
,,103.667614,36.501234,0,甘肃省兰州市永登县中川镇峨眉山路加油站东北约447米
,,103.667584,36.501333,0,甘肃省兰州市永登县中川镇雄桥新村西北约452米
,,103.667506,36.502573,0,甘肃省兰州市永登县中川镇雄桥新村西北约489米
,,103.667486,36.503063,0,甘肃省兰州市永登县中川镇奥特莱斯广场西南约498米
,,103.667537,36.504364,0,甘肃省兰州市永登县中川镇兰州新区奥特莱斯国际商业广场停车场西南约436米
,,103.667597,36.505006,0,甘肃省兰州市永登县中川镇兰州新区奥特莱斯国际商业广场停车场西南约417米
,,103.667597,36.505236,0,甘肃省兰州市永登县中川镇兰州新区奥特莱斯国际商业广场停车场西南约415米
,,103.667378,36.505342,0,甘肃省兰州市永登县中川镇兰州新区奥特莱斯国际商业广场停车场西南约434米
,,103.667098,36.505388,0,甘肃省兰州市永登县中川镇簸箕湾东北约453米
,,103.665831,36.505368,0,甘肃省兰州市永登县中川镇簸箕湾东北约340米
,,103.665422,36.505361,0,甘肃省兰州市永登县中川镇簸箕湾东北约303米
,,103.664545,36.505367,0,甘肃省兰州市永登县中川镇簸箕湾东北约225米
,,103.664196,36.505431,0,甘肃省兰州市永登县中川镇簸箕湾东北约194米
,,103.663588,36.505641,0,甘肃省兰州市永登县中川镇簸箕湾东北约145米
,,103.663089,36.505882,0,甘肃省兰州市永登县中川镇簸箕湾东北约116米
,,103.663019,36.505941,0,甘肃省兰州市永登县中川镇簸箕湾东北约115米
,,103.662989,36.506001,0,甘肃省兰州市永登县中川镇簸箕湾东北约117米
,,103.662959,36.506300,0,甘肃省兰州市永登县中川镇簸箕湾东北约140米
,,103.662959,36.506300,0,甘肃省兰州市永登县中川镇簸箕湾东北约140米
,,103.662959,36.506300,0,甘肃省兰州市永登县中川镇簸箕湾东北约140米
,,103.662989,36.506311,0,甘肃省兰州市永登县中川镇簸箕湾东北约140米
,,103.662930,36.506320,0,甘肃省兰州市永登县中川镇簸箕湾东北约141米
,,103.662651,36.506435,0,甘肃省兰州市永登县中川镇簸箕湾东北约140米
,,103.662581,36.506444,0,甘肃省兰州市永登县中川镇簸箕湾东北约138米
,,103.662501,36.506442,0,甘肃省兰州市永登县中川镇簸箕湾东北约136米
,,103.662311,36.506379,0,甘肃省兰州市永登县中川镇簸箕湾东北约124米
,,103.662212,36.506287,0,甘肃省兰州市永登县中川镇簸箕湾东北约113米
,,103.662152,36.506196,0,甘肃省兰州市永登县中川镇簸箕湾东北约102米
,,103.662152,36.506136,0,甘肃省兰州市永登县中川镇簸箕湾东北约95米
,,103.662152,36.506026,0,甘肃省兰州市永登县中川镇簸箕湾东北约83米
,,103.662231,36.505907,0,甘肃省兰州市永登县中川镇簸箕湾东北约72米
,,103.662341,36.505819,0,甘肃省兰州市永登县中川镇簸箕湾东北约66米
,,103.662421,36.505791,0,甘肃省兰州市永登县中川镇簸箕湾东北约66米
,,103.662501,36.505792,0,甘肃省兰州市永登县中川镇簸箕湾东北约71米
,,103.662600,36.505804,0,甘肃省兰州市永登县中川镇簸箕湾东北约77米
,,103.663069,36.505882,0,甘肃省兰州市永登县中川镇簸箕湾东北约114米
,,103.663847,36.505495,0,甘肃省兰州市永登县中川镇簸箕湾东北约164米
,,103.664176,36.505381,0,甘肃省兰州市永登县中川镇簸箕湾东北约192米
,,103.664564,36.505317,0,甘肃省兰州市永登县中川镇簸箕湾东北约227米
,,103.664674,36.505309,0,甘肃省兰州市永登县中川镇簸箕湾东北约236米
,,103.665412,36.505301,0,甘肃省兰州市永登县中川镇簸箕湾东北约302米
,,103.666350,36.505326,0,甘肃省兰州市永登县中川镇簸箕湾东北约386米
,,103.666869,36.505335,0,甘肃省兰州市永登县中川镇簸箕湾东北约433米
,,103.667118,36.505309,0,甘肃省兰州市永登县中川镇簸箕湾东北约455米
,,103.667248,36.505251,0,甘肃省兰州市永登县中川镇兰州新区奥特莱斯国际商业广场停车场西南约446米
,,103.667327,36.505152,0,甘肃省兰州市永登县中川镇兰州新区奥特莱斯国际商业广场停车场西南约440米
,,103.667327,36.505082,0,甘肃省兰州市永登县中川镇兰州新区奥特莱斯国际商业广场停车场西南约440米
,,103.667277,36.504180,0,甘肃省兰州市永登县中川镇兰州新区奥特莱斯国际商业广场停车场西南约465米
,,103.667256,36.502699,0,甘肃省兰州市永登县中川镇雄桥新村西北约515米
,,103.667275,36.500618,0,甘肃省兰州市永登县中川镇峨眉山路加油站东北约381米
,,103.667324,36.500048,0,甘肃省兰州市永登县中川镇峨眉山路加油站东北约351米
