date,cnum,lng,lat,speed
2024/03/01 00:58:23,粤A70LR0,408113496,83173356,0
2024/03/01 01:58:09,粤A70LR0,408113136,83173176,0
2024/03/01 02:58:30,粤A70LR0,408112200,83174904,0
2024/03/01 03:58:11,粤A70LR0,408113064,83174436,0
2024/03/01 04:58:25,粤A70LR0,408112668,83174544,0
2024/03/01 05:58:16,粤A70LR0,408113532,83174148,0
2024/03/01 06:58:18,粤A70LR0,408114900,83174580,0
2024/03/01 07:58:16,粤A70LR0,408114000,83173104,0
2024/03/01 08:18:30,粤A70LR0,408113640,83173896,0
2024/03/01 08:18:35,粤A70LR0,408113532,83173572,0
2024/03/01 08:18:50,粤A70LR0,408113892,83173500,0
2024/03/01 08:19:23,粤A70LR0,408113568,83173644,0
2024/03/01 08:58:16,粤A70LR0,408113604,83173680,0
2024/03/01 09:32:34,粤A70LR0,408113604,83174004,0
2024/03/01 09:32:44,粤A70LR0,408113712,83173680,0
2024/03/01 09:35:23,粤A70LR0,408113460,83173464,0
2024/03/01 09:41:21,粤A70LR0,408113676,83173176,0
2024/03/01 09:41:26,粤A70LR0,408114000,83173032,0
2024/03/01 09:41:32,粤A70LR0,408114000,83172672,0
2024/03/01 09:41:40,粤A70LR0,408114252,83172384,12
2024/03/01 09:41:43,粤A70LR0,408114792,83172384,22
2024/03/01 09:41:46,粤A70LR0,408115584,83172348,27
2024/03/01 09:41:49,粤A70LR0,408116340,83172348,22
2024/03/01 09:41:52,粤A70LR0,408117132,83172312,29
2024/03/01 09:41:55,粤A70LR0,408118140,83172312,35
2024/03/01 09:41:58,粤A70LR0,408119292,83172276,38
2024/03/01 09:42:01,粤A70LR0,408120480,83172276,37
2024/03/01 09:42:04,粤A70LR0,408121596,83172240,35
2024/03/01 09:42:07,粤A70LR0,408122496,83172168,25
2024/03/01 09:42:10,粤A70LR0,408123144,83172132,18
2024/03/01 09:42:13,粤A70LR0,408123540,83171988,11
2024/03/01 09:42:17,粤A70LR0,408123900,83171772,9
2024/03/01 09:42:22,粤A70LR0,408124152,83171520,5
2024/03/01 09:42:28,粤A70LR0,408124368,83171268,9
2024/03/01 09:42:31,粤A70LR0,408124512,83170908,18
2024/03/01 09:42:34,粤A70LR0,408124656,83170080,33
