cnum,vin,type,date,lng,lat
鄂W907E3,1C4HJXEN0NW130507,Jeep新牧马人/自动/SUV/2.0T,2024/11/15 11:29,42.94408,89.17075
鄂AR981Q,1C4HJXEN1NW130676,Jeep新牧马人/自动/SUV/2.0T,2024/11/15 11:19,28.53969,100.31525
鄂A2Q06E,1C4HJXEN1NW130886,Jeep新牧马人/自动/SUV/2.0T,2024/11/15 11:29,39.18053,117.12584
川GEQ183,1C4HJXEN1NW141046,Jeep新牧马人（雪地胎）/自动/SUV/2.0T,2024/11/15 11:30,47.18393,90.01093
川G7SK02,1C4HJXEN2NW131674,Jeep新牧马人/自动/SUV/2.0T,2024/11/15 11:19,32.26782,91.68699
川G1SS65,1C4HJXEN2NW143503,Jeep新牧马人/自动/SUV/2.0T,2024/11/15 11:29,44.40215,84.49484
川G26775,1C4HJXEN3NW140769,Jeep新牧马人/自动/SUV/2.0T,2024/11/15 11:29,27.79571,99.8686
桂A1Y5U5,1C4HJXEN4NW196753,Jeep新牧马人/自动/SUV/2.0T,2024/11/15 11:30,29.56595,118.85626
鄂A9Y214,1C4HJXEN5NW130387,Jeep新牧马人/自动/SUV/2.0T,2024/11/15 11:29,37.9921,100.92618
鄂AQ740A,1C4HJXEN5NW130874,Jeep新牧马人/自动/SUV/2.0T,2024/11/15 10:30,39.00776,106.37089
鄂W586K8,1C4HJXEN5NW140739,Jeep新牧马人/自动/SUV/2.0T,2024/11/14 9:38,30.65884,104.07031
鄂W661K0,1C4HJXEN6NW130401,Jeep新牧马人/自动/SUV/2.0T,2024/11/15 11:29,29.99106,100.92023
川GGE672,1C4HJXEN8NW130769,Jeep新牧马人/自动/SUV/2.0T,2024/11/15 11:28,38.2218,105.59269
鄂W719D7,1C4HJXFN0NW143207,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:13,31.32224,102.95109
鄂A1S829,1C4HJXFN1NW168102,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:22,29.55878,106.57431
鄂A8Y79U,1C4HJXFN2NW144021,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:10,29.04867,100.29423
鄂A68H59,1C4HJXFN2NW166665,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/12 16:43,30.65613,104.22351
鄂W306J3,1C4HJXFN2NW202547,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:24,30.98124,102.76988
鄂W913J8,1C4HJXFN4NW166652,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 10:27,23.1215,113.26689
川G0R708,1C4HJXFN5MW834909,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:21,29.5587,106.57386
鄂A14F42,1C4HJXFN5NW202459,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:29,35.16104,93.03873
鄂A0M0M3,1C4HJXFN6NW143325,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 9:54,33.27293,103.90255
鄂A7L187,1C4HJXFN6NW166670,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 10:54,30.66195,104.06956
鄂W673N3,1C4HJXFN6NW175465,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:18,28.43938,98.87667
鄂W690L2,1C4HJXFN6NW202678,Jeep新牧马人 罗宾汉（雪地胎）/自动/SUV/2.0T,2024/11/15 11:29,47.43164,87.44739
鄂A8J39J,1C4HJXFN7NW143110,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:04,30.21284,101.58515
鄂AR83B6,1C4HJXFN8NW166721,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:30,29.08837,89.25826
鄂W587N0,1C4HJXFNXNW166638,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:17,39.52662,101.74348
鄂A4790E,1C4HJXFNXNW167983,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:29,50.5628,123.38012
鄂A2U34L,1C4HJXFNXNW202456,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:29,29.67034,106.56319
川AF20454,1C4JJXP62NW188321,Jeep新牧马人（混动）/自动/SUV/2.0T,2024/11/15 11:30,30.64513,101.40452
9935,LFMGAD423RS009935,丰田新普拉多（京牌）（新车）/自动/SUV/2.4T,2024/11/15 11:23,39.89695,116.3158
新A0L255,LFMGAD425RS009631,丰田新普拉多（新车）/自动/SUV/2.4T,2024/11/15 10:53,41.15875,80.26547
11735,LFMGAD425RS011735,丰田新普拉多（新车）/自动/SUV/2.4T,2024/11/15 11:29,29.64472,106.57112
